14:27:38:620 [ALWAYS]	GUDE Logging Started
14:27:38:620 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:27:38:620 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:27:38:621 [ERROR]	Initialize resume cache pointer failure
14:27:38:621 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
14:27:38:621 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
14:27:40:549 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
14:27:40:549 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
14:27:40:549 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
14:27:40:550 [ERROR]	Initialize resume cache pointer failure
14:27:40:550 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
14:27:40:550 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
